claim_id,claim_date,sale_id,repair_status
1,2023-09-16,108597,Paid Repaired
2,2023-01-13,850534,Paid Repaired
3,2022-03-14,610086,Paid Repaired
4,2024-06-07,600057,Paid Repaired
5,2024-10-21,326178,Paid Repaired
6,2022-06-29,128491,Warranty Void
7,2023-09-28,107575,Paid Repaired
8,2023-09-07,532426,Paid Repaired
9,2024-06-01,180622,Paid Repaired
10,2024-12-10,744527,Paid Repaired
11,2022-05-24,694707,Paid Repaired
12,2023-11-18,807566,Paid Repaired
13,2023-11-23,795924,Paid Repaired
14,2024-06-23,443985,Paid Repaired
15,2023-02-26,311647,Paid Repaired
16,2023-07-26,764198,Warranty Void
17,2024-01-15,881700,Paid Repaired
18,2024-04-13,4132,Paid Repaired
19,2022-04-19,721216,Warranty Void
20,2023-03-20,33705,Warranty Void
21,2022-05-05,850351,Paid Repaired
22,2023-07-06,548754,Paid Repaired
23,2024-05-08,41183,Paid Repaired
24,2023-12-28,778378,Paid Repaired
25,2023-03-28,289763,Paid Repaired
26,2023-04-14,197172,Warranty Void
27,2022-04-14,437373,Paid Repaired
28,2023-06-30,560831,Paid Repaired
29,2023-11-21,360582,Paid Repaired
30,2022-12-27,464338,Paid Repaired
31,2024-07-22,495289,Warranty Void
32,2022-09-03,734244,Paid Repaired
33,2023-10-04,659704,Paid Repaired
34,2023-02-03,874737,Paid Repaired
35,2023-05-19,407263,Paid Repaired
36,2024-03-19,554903,Paid Repaired
37,2024-02-14,286771,Paid Repaired
38,2024-05-04,602302,Paid Repaired
39,2022-07-03,213377,Paid Repaired
40,2023-08-19,896980,Paid Repaired
41,2022-06-01,119150,Paid Repaired
42,2022-11-25,156326,Paid Repaired
43,2024-07-17,806751,Paid Repaired
44,2022-08-26,104142,Paid Repaired
45,2025-01-19,565988,Paid Repaired
46,2024-06-27,495196,Paid Repaired
47,2023-10-22,629306,Paid Repaired
48,2023-06-23,253677,Paid Repaired
49,2022-12-27,396265,Paid Repaired
50,2024-09-24,741081,Warranty Void
51,2024-01-22,725999,Paid Repaired
52,2022-06-02,361380,Paid Repaired
53,2024-04-30,383587,Paid Repaired
54,2022-08-17,194616,Paid Repaired
55,2023-12-07,409220,Paid Repaired
56,2025-01-29,274476,Paid Repaired
57,2024-02-13,710721,Paid Repaired
58,2022-07-24,564513,Paid Repaired
59,2022-08-04,371385,Warranty Void
60,2023-03-23,426713,Warranty Void
61,2024-03-21,445026,Paid Repaired
62,2023-03-25,247659,Paid Repaired
63,2023-05-03,852155,Warranty Void
64,2022-04-03,2901,Paid Repaired
65,2024-12-03,862031,Warranty Void
66,2024-01-01,353280,Paid Repaired
67,2024-06-14,685393,Paid Repaired
68,2023-03-27,647564,Warranty Void
69,2024-02-16,737104,Paid Repaired
70,2024-10-23,367200,Paid Repaired
71,2024-06-25,877412,Paid Repaired
72,2022-11-15,223639,Paid Repaired
73,2022-04-14,693377,Paid Repaired
74,2023-05-26,604035,Paid Repaired
75,2023-07-28,807630,Paid Repaired
76,2022-11-01,639725,Warranty Void
77,2024-08-08,776111,Paid Repaired
78,2022-12-09,646929,Warranty Void
79,2023-02-07,309613,Paid Repaired
80,2022-09-02,551934,Warranty Void
81,2022-10-18,393055,Paid Repaired
82,2024-05-20,487245,Paid Repaired
83,2025-02-15,236740,Paid Repaired
84,2022-12-03,380130,Paid Repaired
85,2025-01-30,64338,Paid Repaired
86,2022-05-30,657302,Paid Repaired
87,2024-01-01,565314,Warranty Void
88,2025-01-14,768241,Warranty Void
89,2022-03-08,435047,Paid Repaired
90,2023-06-19,365672,Paid Repaired
91,2024-04-25,118158,Paid Repaired
92,2024-02-07,55709,Paid Repaired
93,2024-07-25,243971,Paid Repaired
94,2025-02-17,892902,Paid Repaired
95,2022-09-12,615577,Paid Repaired
96,2024-09-12,683803,Warranty Void
97,2024-12-25,657471,Paid Repaired
98,2022-08-28,765422,Paid Repaired
99,2024-06-25,322129,Paid Repaired
100,2023-06-30,186751,Paid Repaired
101,2022-08-26,474776,Paid Repaired
102,2023-10-20,771477,Warranty Void
103,2022-07-16,712626,Paid Repaired
104,2022-12-07,192439,Warranty Void
105,2024-12-22,565014,Paid Repaired
106,2022-11-08,72757,Paid Repaired
107,2022-05-10,376291,Paid Repaired
108,2022-03-05,455240,Paid Repaired
109,2024-08-30,594112,Paid Repaired
110,2022-04-30,639490,Warranty Void
111,2022-12-16,351913,Warranty Void
112,2022-12-13,685265,Paid Repaired
113,2023-02-26,758279,Paid Repaired
114,2023-12-24,32005,Paid Repaired
115,2025-01-18,730753,Paid Repaired
116,2023-05-30,624537,Paid Repaired
